crop_name,region,year,month,market_price,rainfall,crop_variety,area_sown,yield,irrigated_percent,fertilizer_used,msP,market_demand,export_demand,input_cost,transport_cost,govt_scheme_active,cold_storage_available,mandi_open
Onion,Delhi,2024,4,2054,36.2,default_variety,9297,4620,50,100,1,40.33,0.0,2000,992.0,0,0,0
Onion,Mumbai,2024,4,1479,54.1,default_variety,2157,4198,50,100,1,65.82,0.0,2000,902.2,0,0,1
Onion,Kolkata,2024,4,1415,53.4,default_variety,1762,3140,50,100,1,28.02,0.0,2000,985.8,0,0,1
Onion,Chennai,2024,4,1837,24.3,default_variety,8395,1850,50,100,1,21.28,0.0,2000,1077.3,1,0,1
Onion,Lucknow,2024,4,2086,91.4,default_variety,1091,1440,50,100,0,46.38,0.0,2000,960.1,1,0,1
Onion,Hyderabad,2024,4,1712,17.5,default_variety,8647,3746,50,100,1,77.56,0.0,2000,899.3000000000001,1,0,1
Potato,Delhi,2024,4,1624,75.5,default_variety,4323,1230,50,100,0,10.65,0.0,2000,979.8,1,0,0
Potato,Mumbai,2024,4,1523,67.2,default_variety,2109,920,50,100,0,35.06,0.0,2000,985.7,1,0,0
Potato,Kolkata,2024,4,1870,81.6,default_variety,3817,2441,50,100,1,18.33,0.0,2000,953.0,1,0,0
Potato,Chennai,2024,4,2092,61.0,default_variety,2661,3833,50,100,0,72.15,0.0,2000,1001.5,0,0,1
Potato,Lucknow,2024,4,1937,10.6,default_variety,8653,3152,50,100,0,11.98,0.0,2000,882.4,1,0,1
Potato,Hyderabad,2024,4,1594,90.6,default_variety,4863,3950,50,100,1,63.97,0.0,2000,989.6,0,0,0
Tomato,Delhi,2024,4,1684,67.4,default_variety,5600,2018,50,100,1,95.77,0.0,2000,1083.8,0,0,1
Tomato,Mumbai,2024,4,1515,11.5,default_variety,3881,905,50,100,0,80.89,0.0,2000,1077.9,0,0,1
Tomato,Kolkata,2024,4,1974,76.5,default_variety,7663,3700,50,100,1,12.34,0.0,2000,909.9,1,0,0
Tomato,Chennai,2024,4,2105,75.3,default_variety,6272,3763,50,100,1,59.93,0.0,2000,854.7,1,0,1
Tomato,Lucknow,2024,4,1262,94.6,default_variety,9487,2042,50,100,0,71.77,0.0,2000,1080.3,1,0,1
Tomato,Hyderabad,2024,4,1846,40.1,default_variety,8699,1899,50,100,0,76.2,0.0,2000,884.4,0,0,0
Gram,Delhi,2024,4,1352,66.1,default_variety,6141,1864,50,100,0,26.14,0.0,2000,987.5,1,0,0
Gram,Mumbai,2024,4,1348,3.3,default_variety,9131,2990,50,100,1,21.84,0.0,2000,915.0,1,0,0
Gram,Kolkata,2024,4,2070,54.3,default_variety,3366,4276,50,100,1,42.81,0.0,2000,954.3,0,0,0
Gram,Chennai,2024,4,1425,70.5,default_variety,7949,2887,50,100,1,37.75,0.0,2000,863.5,1,0,0
Gram,Lucknow,2024,4,1677,68.5,default_variety,3465,3602,50,100,0,57.43,0.0,2000,911.8,1,0,1
Gram,Hyderabad,2024,4,2167,29.7,default_variety,6746,2072,50,100,1,28.06,0.0,2000,908.8,1,0,0
Tur,Delhi,2024,4,1546,64.0,default_variety,4453,550,50,100,1,46.15,0.0,2000,878.1,0,0,0
Tur,Mumbai,2024,4,1518,90.3,default_variety,1885,1853,50,100,1,10.37,0.0,2000,928.0,1,0,0
Tur,Kolkata,2024,4,2118,89.3,default_variety,6888,3675,50,100,1,24.1,0.0,2000,879.5999999999999,1,0,1
Tur,Chennai,2024,4,2107,62.0,default_variety,9962,3323,50,100,0,21.38,0.0,2000,1079.2,1,0,0
Tur,Lucknow,2024,4,1110,33.9,default_variety,3414,4190,50,100,0,75.46,0.0,2000,993.5,1,0,0
Tur,Hyderabad,2024,4,1357,16.4,default_variety,5724,4584,50,100,0,76.46,0.0,2000,1002.9,0,0,1
Urad,Delhi,2024,4,1908,63.7,default_variety,9995,3995,50,100,1,18.64,0.0,2000,884.7,1,0,1
Urad,Mumbai,2024,4,1969,61.5,default_variety,7589,3785,50,100,0,43.22,0.0,2000,1055.1,1,0,0
Urad,Kolkata,2024,4,1354,73.7,default_variety,9216,1418,50,100,0,57.94,0.0,2000,991.5,0,0,1
Urad,Chennai,2024,4,1555,21.8,default_variety,6731,1917,50,100,1,55.28,0.0,2000,1094.8,1,0,1
Urad,Lucknow,2024,4,1365,68.6,default_variety,8174,2332,50,100,0,74.68,0.0,2000,1050.1,1,0,0
Urad,Hyderabad,2024,4,1732,25.7,default_variety,2691,1144,50,100,0,52.96,0.0,2000,863.8,0,0,1
