crop,region,year,month,market_price,rainfall,variety,area_sown,yield,irrigated,fertilizer,msp,market_demand,export_demand,input_cost,transport_cost,govt_scheme,cold_storage,mandi_open,price
Wheat,North,2022,11,2000,150,A1,500,2500,80,300,Yes,High,Medium,1000,200,Yes,Yes,Yes,2300
Rice,South,2022,10,1800,200,B1,400,2200,70,250,Yes,Medium,Low,800,150,Yes,Yes,Yes,2100
Maize,East,2022,9,2200,120,C1,600,2000,60,150,No,High,High,1200,250,Yes,No,Yes,2400
Barley,West,2022,12,2500,130,D1,450,1800,90,280,Yes,Low,Medium,950,180,No,Yes,Yes,2700
Cotton,Central,2022,8,3000,250,E1,350,1600,50,200,No,High,Medium,1300,300,Yes,Yes,No,2900
Sugarcane,North,2022,7,2800,300,F1,550,2700,80,350,Yes,Low,High,1100,150,Yes,No,Yes,3100
Soybean,East,2022,10,2400,180,G1,650,2100,60,220,No,Medium,Low,950,200,No,Yes,Yes,2600
Rice,South,2023,1,2000,210,B2,450,2300,70,270,Yes,High,Medium,800,160,Yes,Yes,Yes,2300
Wheat,North,2023,4,2100,160,A2,520,2400,80,310,Yes,Medium,Low,1050,190,Yes,Yes,Yes,2200
Maize,East,2023,5,2300,140,C2,620,1900,70,180,No,High,Medium,1150,230,Yes,No,Yes,2500
Barley,West,2023,6,2500,130,D2,460,1700,90,290,Yes,Low,Low,950,170,No,Yes,Yes,2600
Cotton,Central,2023,2,3100,320,E2,360,1600,50,210,No,High,Low,1200,260,Yes,Yes,No,3000
Sugarcane,North,2023,3,2700,280,F2,570,2600,80,330,Yes,Low,High,1100,160,Yes,No,Yes,2800
Soybean,East,2023,7,2400,190,G2,670,2200,60,230,No,Medium,Low,970,200,No,Yes,Yes,2700
Rice,South,2023,8,1900,220,B3,460,2400,70,260,Yes,High,Medium,820,170,Yes,Yes,Yes,2200
Wheat,North,2023,9,2100,170,A3,530,2500,80,320,Yes,Medium,Low,1050,180,Yes,Yes,Yes,2400
Maize,East,2023,10,2300,150,C3,630,2000,70,200,No,High,High,1200,240,Yes,No,Yes,2600
Barley,West,2023,11,2500,120,D3,470,1800,90,300,Yes,Low,Medium,960,190,No,Yes,Yes,2700
Cotton,Central,2023,12,3000,310,E3,370,1700,50,220,No,High,Low,1250,270,Yes,Yes,No,2900
Sugarcane,North,2023,5,2700,290,F3,580,2500,80,340,Yes,Low,High,1100,180,Yes,No,Yes,2750
Soybean,East,2023,6,2400,180,G3,680,2100,60,240,No,Medium,Low,980,210,No,Yes,Yes,2650
